HEADER,Kingdom_0524,
Default,1401,1501
Default Car-kit,1601,1701
Motorola H790,1403,1503
245Plantronics,1405,1505
9xxPlantronics,1407,1507
PROPlantronics,1408,1508
HM1000,1409,1509
VBT3050,1411,1511
Jabra CLIPPER,1415,1515
Jabra SP700,1416,1516
Jabra Halo,1417,1517
LG HBM-800,1421,1521
BHM400,1424,1524
Jabra EXTREME,1425,1525
Jawbone ICON,1426,1526
Jabra EasyGo,1427,1527
Jabra Wave,1428,1528
Motorola S10-HD,1429,1529
BlueAnt Q2 V1.1,1430,1530
Jabra Stone2,1431,1531
PLT_M1100,1432,1532
Motorola Finiti,1433,1533
JKDAP3264,1001,1101
JKDAP3265,1002,1102
VH700,1021,1121
Nokia BH-505,1022,1122
JAMBOX by Jawbone,1023,1123
Samsung HM-3500,1024,1124
MW600,1025,1125
Blueant V1 V5.3,1026,1126
Motorola T325,1602,1702
Motorola T605,1603,1703
Jabra Cruiser2,1604,1704
Motorola Roadster,1605,1705
END,,
